"You will be redirected to the cart.","Sie werden zum Warenkorb umgeleitet."
"Login or Register", "Anmelden oder Registrieren"
"You are already logged in.", "Sie sind bereits angemeldet."
"Login before register","Anmeldung vor Registrierung"
"Login after register","Anmeldung nach Registrierung"
"Login Step Order","Login Step Reihenfolge"
"Order of Login and Register within the checkout step", "Reihenfolge der Anmeldung und Registrierung im Login im Checkout"
"Enable custom register message","Aktiviere benutzerdefinierte Nachricht zur Registrierung"
"Register message","Nachricht zur Registrierung"
"Message to show as register information","Die Nachricht die als Information zur Registrierung angezeigt wird"
"Enable custom login message","Aktiviere benutzerdefinierte Nachricht zur Anmeldung"
"Login message","Nachricht zur Anmeldung"
"Message to show before the login form", "Die Nachricht die vor der Anmeldemaske angezeigt wird"
